%eval_id interface              R              S              F           rmse       rmse_std 
1            NO_ID          0.001          0.001          0.001   0.9155671392   0.9455341863 
2            NO_ID 0.007419354839          0.001          0.001   0.9381784886   0.9631270655 
3            NO_ID  0.01383870968          0.001          0.001   0.9703228258   0.9986891975 
4            NO_ID  0.02025806452          0.001          0.001   0.9471237965   0.9978154026 
5            NO_ID  0.02667741935          0.001          0.001   0.9183792128   0.9746508054 
6            NO_ID  0.03309677419          0.001          0.001   0.9582294123     1.02604108 
7            NO_ID  0.03951612903          0.001          0.001   0.9096930757   0.9717716874 
8            NO_ID  0.04593548387          0.001          0.001   0.9401628173   0.9850763586 
9            NO_ID  0.05235483871          0.001          0.001   0.9235607056   0.9919502659 
10           NO_ID  0.05877419355          0.001          0.001   0.9441776787    1.035755643 
11           NO_ID  0.06519354839          0.001          0.001   0.9659011019   0.9860280898 
12           NO_ID  0.07161290323          0.001          0.001   0.9402422691    1.026748072 
13           NO_ID  0.07803225806          0.001          0.001   0.9415896606     0.99864853 
14           NO_ID   0.0844516129          0.001          0.001   0.9374846975   0.9737911579 
15           NO_ID  0.09087096774          0.001          0.001   0.9351034288    1.012075865 
16           NO_ID  0.09729032258          0.001          0.001   0.9914120953     1.01452412 
17           NO_ID   0.1037096774          0.001          0.001   0.9766426346    1.031363916 
18           NO_ID   0.1101290323          0.001          0.001   0.9752105856    1.061270303 
19           NO_ID   0.1165483871          0.001          0.001   0.9334177994     0.98491845 
20           NO_ID   0.1229677419          0.001          0.001    0.980870019     0.99388496 
21           NO_ID   0.1293870968          0.001          0.001   0.9407579323   0.9997209766 
22           NO_ID   0.1358064516          0.001          0.001   0.9413420599   0.9841417765 
23           NO_ID   0.1422258065          0.001          0.001   0.9407619408    1.032376533 
24           NO_ID   0.1486451613          0.001          0.001   0.9551560434    1.024270402 
25           NO_ID   0.1550645161          0.001          0.001   0.9839944789    1.041994788 
26           NO_ID    0.161483871          0.001          0.001   0.9671612983    1.014888945 
27           NO_ID   0.1679032258          0.001          0.001   0.9398197113   0.9903793098 
28           NO_ID   0.1743225806          0.001          0.001   0.9429991768   0.9610749825 
29           NO_ID   0.1807419355          0.001          0.001   0.9707868658     1.01164353 
30           NO_ID   0.1871612903          0.001          0.001   0.9804313572    1.019684617 
31           NO_ID   0.1935806452          0.001          0.001   0.9147950054   0.9333836117 
32           NO_ID            0.2          0.001          0.001    0.920655262   0.9568429764 
33           NO_ID          0.001  0.03322580645          0.001  0.02511549861  0.05986843074 
34           NO_ID 0.007419354839  0.03322580645          0.001  0.02498428427   0.0545149467 
35           NO_ID  0.01383870968  0.03322580645          0.001  0.02418334934  0.04805456469 
36           NO_ID  0.02025806452  0.03322580645          0.001  0.02207952141  0.05348361791 
37           NO_ID  0.02667741935  0.03322580645          0.001  0.02329510033  0.04874408882 
38           NO_ID  0.03309677419  0.03322580645          0.001  0.02462680467  0.05526198944 
39           NO_ID  0.03951612903  0.03322580645          0.001  0.02360277146  0.06175597259 
40           NO_ID  0.04593548387  0.03322580645          0.001  0.02114819763  0.05428965652 
41           NO_ID  0.05235483871  0.03322580645          0.001  0.02384435446  0.04412670008 
42           NO_ID  0.05877419355  0.03322580645          0.001  0.02330181731  0.05044027401 
43           NO_ID  0.06519354839  0.03322580645          0.001   0.0217652155  0.05664846209 
44           NO_ID  0.07161290323  0.03322580645          0.001  0.02336563155    0.058852102 
45           NO_ID  0.07803225806  0.03322580645          0.001  0.02345508552   0.0611619561 
46           NO_ID   0.0844516129  0.03322580645          0.001  0.02352398568  0.05656944484 
47           NO_ID  0.09087096774  0.03322580645          0.001  0.02276320121  0.06516836717 
48           NO_ID  0.09729032258  0.03322580645          0.001  0.02241209528  0.05418416094 
49           NO_ID   0.1037096774  0.03322580645          0.001   0.0224804385   0.0576482943 
50           NO_ID   0.1101290323  0.03322580645          0.001  0.02170049346  0.04892866132 
51           NO_ID   0.1165483871  0.03322580645          0.001  0.02136826769  0.05285549357 
52           NO_ID   0.1229677419  0.03322580645          0.001  0.01909007057  0.04925885137 
53           NO_ID   0.1293870968  0.03322580645          0.001  0.02164478432  0.06130949062 
54           NO_ID   0.1358064516  0.03322580645          0.001  0.02060751143  0.07007427883 
55           NO_ID   0.1422258065  0.03322580645          0.001  0.02303853297   0.0552730248 
56           NO_ID   0.1486451613  0.03322580645          0.001  0.02143995304  0.05280500557 
57           NO_ID   0.1550645161  0.03322580645          0.001   0.0207637063  0.04682451849 
58           NO_ID    0.161483871  0.03322580645          0.001    0.021722438  0.04537145936 
59           NO_ID   0.1679032258  0.03322580645          0.001   0.0221569639  0.06627376578 
60           NO_ID   0.1743225806  0.03322580645          0.001  0.02148127345  0.05490870407 
61           NO_ID   0.1807419355  0.03322580645          0.001  0.01921513983   0.0431476764 
62           NO_ID   0.1871612903  0.03322580645          0.001  0.01911507473  0.05716286401 
63           NO_ID   0.1935806452  0.03322580645          0.001  0.02068520769  0.04965116661 
64           NO_ID            0.2  0.03322580645          0.001  0.02108611252  0.06274311816 
65           NO_ID          0.001   0.0654516129          0.001  0.03016427182  0.04130654446 
66           NO_ID 0.007419354839   0.0654516129          0.001  0.03112017528  0.04185582291 
67           NO_ID  0.01383870968   0.0654516129          0.001  0.03056796479  0.05410777527 
68           NO_ID  0.02025806452   0.0654516129          0.001  0.03005071687  0.04197671916 
69           NO_ID  0.02667741935   0.0654516129          0.001  0.02961291871  0.04215701382 
70           NO_ID  0.03309677419   0.0654516129          0.001  0.03049472601  0.04527540763 
71           NO_ID  0.03951612903   0.0654516129          0.001  0.03033064339  0.05004506406 
72           NO_ID  0.04593548387   0.0654516129          0.001  0.03072299522  0.04914704084 
73           NO_ID  0.05235483871   0.0654516129          0.001  0.02951745555  0.04395609108 
74           NO_ID  0.05877419355   0.0654516129          0.001  0.02867974609  0.04384314456 
75           NO_ID  0.06519354839   0.0654516129          0.001  0.02981387989  0.04683922055 
76           NO_ID  0.07161290323   0.0654516129          0.001  0.02832804188   0.0399224336 
77           NO_ID  0.07803225806   0.0654516129          0.001  0.02794605554  0.04409770455 
78           NO_ID   0.0844516129   0.0654516129          0.001  0.02873922923  0.04791973927 
79           NO_ID  0.09087096774   0.0654516129          0.001  0.02867799946   0.0396961131 
80           NO_ID  0.09729032258   0.0654516129          0.001   0.0279394202  0.04614279783 
81           NO_ID   0.1037096774   0.0654516129          0.001  0.02756486007  0.04684207577 
82           NO_ID   0.1101290323   0.0654516129          0.001  0.02663960633  0.03832802734 
83           NO_ID   0.1165483871   0.0654516129          0.001  0.02808450046   0.0472788336 
84           NO_ID   0.1229677419   0.0654516129          0.001  0.02690643688   0.0436698034 
85           NO_ID   0.1293870968   0.0654516129          0.001  0.02578632596   0.0367699782 
86           NO_ID   0.1358064516   0.0654516129          0.001  0.02812640985  0.03927593921 
87           NO_ID   0.1422258065   0.0654516129          0.001  0.02747020859  0.04995668515 
88           NO_ID   0.1486451613   0.0654516129          0.001   0.0275902558  0.03534297306 
89           NO_ID   0.1550645161   0.0654516129          0.001  0.02617907301  0.04404159482 
90           NO_ID    0.161483871   0.0654516129          0.001  0.02600834245  0.04234330641 
