%eval_id interface              R              S              F           rmse 
1            NO_ID         0.1255         0.5005         0.1255  0.02078477849 
2            NO_ID         0.2085         0.5005         0.1255  0.03165944259 
3            NO_ID         0.0425         0.5005         0.1255  0.01982845174 
4            NO_ID         0.1255         0.8335         0.1255 0.003466692896 
5            NO_ID         0.1255         0.1675         0.1255   0.3144364866 
6            NO_ID         0.1255         0.5005         0.2085  0.03839523375 
7            NO_ID         0.1255         0.5005         0.0425 0.005457020121 
8            NO_ID         0.2085         0.8335         0.1255 0.008596411857 
9            NO_ID         0.0425         0.8335         0.1255 0.003209913625 
10           NO_ID         0.1255         0.8335         0.2085 0.006216194255 
11           NO_ID         0.1255         0.8335         0.0425 0.002267291968 
12           NO_ID         0.2085         0.8335         0.0425 0.003336597586 
13           NO_ID         0.0425         0.8335         0.0425 0.002865078241 
14           NO_ID         0.2085         0.5005         0.0425 0.007939513485 
15           NO_ID         0.0425         0.5005         0.0425  0.00507107426 
16           NO_ID   0.1531666667         0.8335         0.0425 0.002219299721 
17           NO_ID  0.09783333333         0.8335         0.0425 0.002291066362 
18           NO_ID         0.1255         0.9445         0.0425 0.002849122801 
19           NO_ID         0.1255         0.7225         0.0425 0.002822338648 
20           NO_ID         0.1255         0.8335  0.07016666667 0.002564249394 
21           NO_ID         0.1255         0.8335  0.01483333333 0.002879605963 
22           NO_ID         0.2085         0.8335         0.2085   0.0133245697 
23           NO_ID         0.0425         0.8335         0.2085 0.004880953233 
24           NO_ID   0.1531666667         0.9445         0.0425 0.002851366369 
25           NO_ID   0.1531666667         0.7225         0.0425 0.002714630106 
26           NO_ID   0.1531666667         0.8335  0.07016666667 0.002958599535 
27           NO_ID   0.1531666667         0.8335  0.01483333333 0.002613315232 
28           NO_ID         0.2085         0.5005         0.2085   0.0531030038 
29           NO_ID         0.0425         0.5005         0.2085  0.03581010719 
30           NO_ID  0.09783333333         0.9445         0.0425 0.003112193813 
31           NO_ID  0.09783333333         0.7225         0.0425 0.002639040589 
32           NO_ID  0.09783333333         0.8335  0.07016666667 0.002322972683 
33           NO_ID  0.09783333333         0.8335  0.01483333333  0.00335069809 
34           NO_ID   0.1623888889         0.8335         0.0425 0.002621480303 
35           NO_ID   0.1439444444         0.8335         0.0425 0.002673046002 
36           NO_ID   0.1531666667         0.8705         0.0425 0.002618804944 
37           NO_ID   0.1531666667         0.7965         0.0425 0.002547100469 
38           NO_ID   0.1531666667         0.8335  0.05172222222 0.002584397579 
39           NO_ID   0.1531666667         0.8335  0.03327777778 0.002130562631 
40           NO_ID         0.2085         0.1675         0.1255   0.3392592307 
41           NO_ID         0.0425         0.1675         0.1255   0.3187486131 
42           NO_ID         0.1255         0.1675         0.2085   0.6050005826 
43           NO_ID         0.1255         0.1675         0.0425  0.06467988281 
44           NO_ID  0.09783333333         0.9445  0.07016666667  0.00276161537 
45           NO_ID  0.09783333333         0.7225  0.07016666667  0.00300095105 
46           NO_ID   0.1623888889         0.8335  0.03327777778 0.002361468383 
47           NO_ID   0.1439444444         0.8335  0.03327777778 0.002268127027 
48           NO_ID   0.1531666667         0.8705  0.03327777778 0.002320738002 
49           NO_ID   0.1531666667         0.7965  0.03327777778  0.00228399109 
50           NO_ID         0.2085         0.1675         0.0425  0.07165603121 
51           NO_ID         0.0425         0.1675         0.0425  0.06090378022 
52           NO_ID         0.1255         0.9445  0.07016666667  0.00276535012 
53           NO_ID         0.1255         0.7225  0.07016666667  0.00397072902 
54           NO_ID   0.1562407407         0.8335  0.03327777778 0.002497021134 
55           NO_ID   0.1500925926         0.8335  0.03327777778 0.002233471505 
